Country,Code,Numeric Code,Latitude,Longitude,Radius
Canada,CA,124,45.62936515027507,-121.68279131752989,500
Canada,CA,124,44.91772135445185,-96.20903185189805,500
Canada,CA,124,44.568377796838554,-83.58888160336534,500
Canada,CA,124,44.22321555272076,-71.04344695402088,500
Canada,CA,124,45.9918831924625,-59.11448130382064,500
Canada,CA,124,54.416788259516316,-117.70785786638203,500
Canada,CA,124,50.20433572598941,-126.1245935549807,250.0
Canada,CA,124,49.77947913799214,-112.04625913786124,250.0
Canada,CA,124,49.36112386748849,-98.09644569231881,250.0
Canada,CA,124,49.740610727953644,-72.02754996356656,250.0
