Country,Code,Numeric Code,Latitude,Longitude,Radius
United States,US,840,28.956880834343494,-119.57905732883259,500
United States,US,840,28.761933962506113,-109.33165410383798,500
United States,US,840,28.568539637463463,-99.10317165343345,500
United States,US,840,28.376679965097317,-88.89327526318651,500
United States,US,840,28.186337388712435,-78.70163772403916,500
United States,US,840,37.93289977486444,-119.01894097699959,500
United States,US,840,37.387918053484334,-96.3594336476874,500
United States,US,840,37.1193762321836,-85.09074630118391,500
United States,US,840,36.85340885807062,-73.86153743577817,500
United States,US,840,37.93289977486444,-72.67803167970041,500
United States,US,840,33.30797925944809,-113.6237868127021,250.0
United States,US,840,33.074926007995224,-102.84554387576269,250.0
United States,US,840,32.84395793482353,-92.09695897730867,250.0
United States,US,840,32.615044411583966,-81.37740634948234,250.0
United States,US,840,33.059618581788435,-75.68983470186978,250.0
United States,US,840,44.007985576516894,-93.32297993821263,500
United States,US,840,43.66942948216858,-80.89463080698681,500
United States,US,840,44.69726469898119,-73.30162331064088,500
United States,US,840,40.90832046558239,-79.1961848059124,250.0
