Name,Type,Country,Code,Latitude,Longitude,Radius
England,Kingdom,United Kingdom,GB,52.116056302915084,-2.674108790342159,257
England,Kingdom,United Kingdom,GB,53.433282028665836,-2.5591478515370745,257
Northern Ireland,Province,United Kingdom,GB,54.66253489712622,-7.055765059172757,72
Northern Ireland,Province,United Kingdom,GB,54.66253489712622,-6.548303696930786,72
Scotland,Kingdom,United Kingdom,GB,57.754181080110044,-7.572870059083577,364
Wales,Principality,United Kingdom,GB,52.18369971439732,-4.105834015617448,95
Wales,Principality,United Kingdom,GB,52.56832131289517,-4.093805090095569,95
