Country,Code,Numeric Code,Latitude,Longitude,Radius
India,IN,356,12.55911870475286,72.76622989520291,500
India,IN,356,12.480372727752265,81.96651211401092,500
India,IN,356,12.559118704752859,92.74236385479709,500
India,IN,356,21.564242451680425,72.99324899725808,500
India,IN,356,21.424755952688347,82.64274398136745,500
India,IN,356,21.286257955086285,92.283122043606,500
India,IN,356,16.991937328720603,77.70448693828519,250.0
India,IN,356,30.55571442940492,73.37826567896104,500
India,IN,356,30.34781464606702,83.78806603730783,500
India,IN,356,30.55571442940492,92.13032807103896,500
India,IN,356,25.956028548873725,78.39065751728296,250.0
India,IN,356,25.990235191046633,87.3865360262032,250.0
