Country,Code,Numeric Code,Latitude,Longitude,Radius
Russian Federation,RU,643,49.8311996180924,31.8307257039596,323
Russian Federation,RU,643,55.61610072875216,32.46753349311733,323
Russian Federation,RU,643,61.38853119516882,33.38614734323981,323
Russian Federation,RU,643,54.815601999446386,20.42883689202079,53
Russian Federation,RU,643,54.815601999446386,22.00680763927921,53
Russian Federation,RU,643,46.244666489849756,72.27301227879953,500
Russian Federation,RU,643,45.87897561611287,85.18961631870762,500
Russian Federation,RU,643,45.16122178346688,110.77416331148984,500
Russian Federation,RU,643,44.80893432891636,123.44719467663569,500
Russian Federation,RU,643,44.46089814089039,136.04393373821682,500
Russian Federation,RU,643,44.11701247819371,148.56665031512793,500
Russian Federation,RU,643,55.02574618818794,76.39012526237548,500
Russian Federation,RU,643,50.38615549955787,82.09371640443919,250.0
Russian Federation,RU,643,49.123397803498804,124.09090898976751,250.0
