Country,Code,Numeric Code,Latitude,Longitude,Radius
China,CN,156,24.535131549919907,88.42367032362083,500
China,CN,156,24.374129034010366,98.28541802661016,500
China,CN,156,24.214316628963427,108.13474930259198,500
China,CN,156,24.055682654343755,117.97186257870973,500
China,CN,156,33.68274141417237,79.00196311854145,500
China,CN,156,33.21582471717714,100.50786434076517,500
China,CN,156,32.98542263537069,111.21824398722585,500
China,CN,156,32.757020529371474,121.90099800876688,500
China,CN,156,29.072795398473183,84.15930025009715,250.0
China,CN,156,28.875478133548526,94.465767332193,250.0
China,CN,156,28.679775834690528,104.751831006918,250.0
China,CN,156,28.485668579167452,115.01787365567944,250.0
China,CN,156,28.869212034258062,123.66478371443414,250.0
China,CN,156,41.68837410852278,115.99911682807108,500
China,CN,156,41.37592859374052,127.97681931073573,500
China,CN,156,42.64667571611523,128.64997197263432,500
China,CN,156,37.45209941284996,108.25349058441813,250.0
China,CN,156,37.180675614555604,119.59753164898079,250.0
China,CN,156,37.70184812274336,125.27548499070059,250.0
China,CN,156,47.67467761685132,120.81356920533727,500
China,CN,156,48.8591341503017,127.92914552073783,500
China,CN,156,45.27375412941224,121.96413117440446,250.0
China,CN,156,19.17523432279979,109.65294136190097,107
China,CN,156,19.17523432279979,109.99637504409904,107
