Name,Type,Country,Code,Latitude,Longitude,Radius
Alabama,State,United States,US,31.68484183750281,-86.74951960160205,164
Alabama,State,United States,US,33.51795700035296,-86.71406633789003,164
Alaska,State,United States,US,51.43410472097507,-178.8741065269405,25
Alaska,State,United States,US,51.88349358962784,-178.8713585113959,25
Alaska,State,United States,US,58.96024857104462,-159.41041642280928,500
Alaska,State,United States,US,58.382974997328105,-142.19923011021007,500
Alaska,State,United States,US,58.96024857104462,-138.7082511797297,500
Alaska,State,United States,US,67.77205464525015,-156.2117221522108,500
Alaska,State,United States,US,67.77205464525015,-141.90694545032818,500
Alaska,State,United States,US,63.36615160814739,-150.65868093656871,250.0
Arizona,State,United States,US,33.615696755951106,-112.04814866011375,257
Arizona,State,United States,US,34.656158611348644,-112.01399902291142,257
Arkansas,State,United States,US,34.73391991958734,-92.49969611383445,194
Arkansas,State,United States,US,34.73391991958734,-91.76286949895858,194
California,State,United States,US,36.27699731634697,-119.67471022000547,426
California,State,United States,US,38.07282957736961,-119.5608813152714,426
Colorado,State,United States,US,38.970877676544994,-106.48724660209052,223
Colorado,State,United States,US,38.970877676544994,-104.61553660103449,223
Connecticut,State,United States,US,41.512650737095996,-73.01097744110743,60
Connecticut,State,United States,US,41.512650737095996,-72.50698215361895,60
Delaware,State,United States,US,38.71494338337833,-75.424753196303,32
Delaware,State,United States,US,39.29142765286638,-75.42179265626048,32
Delaware,State,United States,US,39.55178500935352,-75.42042740191965,32
District of Columbia,Federal District,United States,US,38.902070087948296,-77.01524005570089,25
Florida,State,United States,US,27.713820994864765,-83.98633879603115,360
Georgia,State,United States,US,32.302176576834775,-83.2965115352378,218
Georgia,State,United States,US,33.015000073044355,-83.27810297814986,218
Hawaii,State,United States,US,21.226660101339522,-162.21105659874416,259
Hawaii,State,United States,US,21.226660101339522,-157.30081473914638,259
Idaho,State,United States,US,43.998209774904794,-114.41404364725427,227
Idaho,State,United States,US,46.92127094076486,-114.26397503921066,227
Illinois,State,United States,US,38.6186709590223,-89.39192900086987,185
