Name,Type,Country,Code,Latitude,Longitude,Radius
Abruzzo,Region,Italy,IT,42.28647817732692,13.843879904536195,68
Apulia,Region,Italy,IT,40.99685091471117,16.551429676077383,136
Basilicata,Region,Italy,IT,40.47870626032415,16.094018028887096,65
Calabria,Region,Italy,IT,38.52549348513825,16.400497847693117,68
Calabria,Region,Italy,IT,39.52986137736313,16.41147430843344,68
Campania,Region,Italy,IT,40.74490868435664,14.769346877188372,85
Emilia-Romagna,Region,Italy,IT,44.436676943467354,10.178817469903759,78
Emilia-Romagna,Region,Italy,IT,44.436676943467354,11.776862423590043,78
Friuli-Venezia Giulia,Autonomous Region,Italy,IT,46.11004596433917,13.098041094414716,60
Lazio,Region,Italy,IT,41.732049553234134,12.717040325345119,106
Liguria,Region,Italy,IT,44.224692309758,8.1349253386015,51
Liguria,Region,Italy,IT,44.22112630903744,9.411429226443696,51
Lombardia,Region,Italy,IT,45.65100375183937,9.897832209101455,109
Marche,Region,Italy,IT,43.32502706387468,12.984836735576142,72
Molise,Region,Italy,IT,41.71654827548577,14.422582481003897,40
Molise,Region,Italy,IT,41.71654827548577,14.674821998976602,40
Piemonte,Region,Italy,IT,44.954081496823946,7.888827817805292,100
Piemonte,Region,Italy,IT,45.553721460146264,7.902138400537176,100
Sardegna,Autonomous Region,Italy,IT,39.50463007453485,8.957451284060484,72
Sardegna,Autonomous Region,Italy,IT,40.66096982870533,8.971549378025124,72
Sicily,Autonomous Region,Italy,IT,37.13444067138442,12.999991025452422,185
Sicily,Autonomous Region,Italy,IT,37.13444067138442,13.570422564025247,185
Toscana,Region,Italy,IT,43.19302372465672,11.001609852410937,107
Toscana,Region,Italy,IT,43.50304126063888,11.008314880145562,107
Trentino-Alto Adige,Autonomous Region,Italy,IT,46.37789682388487,11.413637599313727,79
Umbria,Region,Italy,IT,42.86753632973231,12.570594834124812,56
Umbria,Region,Italy,IT,43.11222343989059,12.573288709259,56
Valle d'Aosta,Autonomous Region,Italy,IT,45.727051521302386,7.197558906120894,30
Valle d'Aosta,Autonomous Region,Italy,IT,45.727051521302386,7.55508134122419,30
Veneto,Region,Italy,IT,45.640432975616996,11.839433144275004,95
