OBJECTID,UID,ID_0,ISO,NAME_0,ID_1,NAME_1,VARNAME_1,NL_NAME_1,HASC_1,CCN_1,CCA_1,TYPE_1,ENGTYPE_1,VALIDFR_1,VALIDTO_1,REMARKS_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,ID_3,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,CCN_3,CCA_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,ID_4,NAME_4,VARNAME_4,CCN_4,CCA_4,TYPE_4,ENGTYPE_4,VALIDFR_4,VALIDTO_4,REMARKS_4,ID_5,NAME_5,CCN_5,CCA_5,TYPE_5,ENGTYPE_5,REGION,VARREGION,Shape_Leng,Shape_Area
209793,209793.0,213,KOR,South Korea,3,Chungcheongnam-do,Chungchongnam-Do|Ch'ungch'ong-namdo|Chusei Nan-do|South Chungchong|Ch'ungch'ong-namdo,충청남도 | 忠淸南道,KR.GN,0,,Do,Province,1989,Present,34 (NSO Code),28,Asan,,아산시| 牙山市,,0,,Si,City,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,1.00526321384,0.0524613145099
209808,209808.0,213,KOR,South Korea,4,Daegu,Taegu|Daegu Gwang'yeogsi|Taegu-gwangyoksi|Taikyu,대구광역시 | 大邱廣域市,KR.TG,0,,Gwangyeoksi,Metropolitan City,1981,Present,22 (NSO Code),43,Buk,,북구 | 北區,,0,,Gu,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,0.411046860553,0.00966537298519
209816,209816.0,213,KOR,South Korea,5,Daejeon,Daejeon Gwang'yeogsi|Taejŏn-gwangyŏksi|Taiden,대구광역시 | 大邱廣域市,KR.TJ,0,,Gwangyeoksi,Metropolitan City,1989,Present,25 (NSO Code),51,Daedeok,,대덕구| 大德區,,0,,Gu,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,0.450410525327,0.00731217746216
209821,209821.0,213,KOR,South Korea,6,Gangwon-do,Kang-Won-Do|Gang'weondo|Kangwon-do|Kogen-do|South Kangwon,강원도 | 江原道,KR.KW,0,,Do,Province,18960804,Present,32 (NSO Code),56,Cheorwon,,철원군| 鐵原郡,,0,,Gun,County,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,2.36616059364,0.132610828194
209839,209839.0,213,KOR,South Korea,7,Gwangju,Kwangju|Kwangju-gwangyoksi,광주광역시 | 光州廣域市,KR.KJ,0,,Gwangyeoksi,Metropolitan City,1986,Present,24 (NSO Code),74,Buk,,북구|北區,,0,,Gu,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,0.520417806684,0.010031011625
209842,209842.0,213,KOR,South Korea,8,Gyeonggi-do,Kyonggi-do|Keiki-do|Kyunggi,경기도 | 京畿道,KR.KG,0,,Do,Province,1981,Present,31 (NSO Code),77,Ansan,,안산시| 安山市,,0,,Si,City,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,0.384336926006,0.00557959057914
209873,209873.0,213,KOR,South Korea,9,Gyeongsangbuk-do,Kyongsangbuk-Do|Gyeongsangbugdo|Kyongsang-bukto|Keisho Hoku-do|North Kyongsang,경상북도 | 慶尙北道,KR.KB,0,,Do,Province,1981,Present,37 (NSO Code),108,Andong,,안동시| 安東市,,0,,Si,City,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,2.03348649755,0.155391386099
209896,209896.0,213,KOR,South Korea,10,Gyeongsangnam-do,Kyongsangnam-Do|Kyongsang-namdo|Keisho Nan-do|South Kyongsang,경상남도 | 慶尙南道,KR.KN,0,,Do,Province,19630101,19970715,38 (NSO Code),131,Changnyeong,,창녕군| 昌寧郡,,0,,Gun,County,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,0.977909278875,0.0462461342395
209916,209916.0,213,KOR,South Korea,11,Incheon,Inchon|IInch'on-gwangyoksi|Jinsen,인천광역시 | 仁川廣域市,KR.IN,0,,Gwangyeoksi,Metropolitan City,1981,Present,22 (NSO Code),151,Bupyeong,,부평구| 富平區,,0,,Gu,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,0.23812743673,0.00316269608447
209926,209926.0,213,KOR,South Korea,12,Jeju,Jeju-doQuelpart|Saishu-to|Cheju-do,제주특별자치도 | 濟州特別自治道,KR.CJ,0,,Do,Province,19460801,Present,39 (NSO Code),161,Jeju,,제주시 | 濟州市,,0,,Si,City,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,2.68143753743,0.0938336769614
209928,209928.0,213,KOR,South Korea,13,Jeollabuk-do,Chollabuk-Do|Cholla-bukto|Jeonrabugdo|North Cholla|Zenra Hoku-do,전라북도 | 全羅北道,KR.CB,0,,Do,Province,18960804,Present,35 (NSO Code),163,Buan,,부안군| 扶安郡,,0,,Gun,County,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,4.82660209174,0.0525870314304
209942,209942.0,213,KOR,South Korea,14,Jeollanam-do,Chollanam-Do|Cholla-namdo|Jeonranamdo|South Cholla|Zenra Nan-do,전라남도 | 全羅南道,KR.CN,0,,Do,Province,1986,Present,36 (NSO Code),177,Boseong,,보성군| 寶城郡,,0,,Gun,County,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,2.1706080512,0.0689986555954
209964,209964.0,213,KOR,South Korea,15,Sejong,Sejong Metropolitan Autonomous City,세종특별자치시,KR.SJ,0,,Do,Metropolitan Autonomous City,2014,Present,34 (NSO Code),199,Yeongi,,연기군| 燕岐郡,,0,,Gun,County,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,0.997667938927,0.0338785441272
209965,209965.0,213,KOR,South Korea,16,Seoul,Keijo|Séoul|Seul|Seúl|Söul|Soul-t'ukpyolsi,서울특별시,KR.SO,0,,Teukbyeolsi,Capital Metropolitan City,19460815,Present,11 (NSO Code),200,Dobong,,도봉구| 道峰區,,0,,Gu,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,0.180754107826,0.00208645420207
209990,209990.0,213,KOR,South Korea,17,Ulsan,Ulsan-gwangyoksi,울산광역시 | 蔚山廣域市,KR.UL,0,,Metropolitan City,Metropolitan City,19970715,Present,26 (NSO Code),225,Buk,,북구| 北區,,0,,Gu,District,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,0.661930719023,0.0109980106063
209995,209995.0,214,SSD,South Sudan,1,Central Equatoria,Bahr el Gabel| Bahr-al-Jabal,,SD.BG,0,,Wilayat,State,20050401,Present,,1,Bahr al Jabal,,,,0,,District,District,Unknown,Present,,1,Juba,,,,0,,Unknown,Unknown,Unknown,Unknown,,0,,,0,,,,,,,0,,0,,,,Equatoria,Al Istiwā'ī|Al Istiwā'īyah|Equatória,5.68677736775,1.39608727512
209999,209999.0,214,SSD,South Sudan,2,Eastern Equatoria,Al Istiwā'īyah ash Sharqīyah| Sharq al Istiwā'īyah| Équatoria oriental,,SD.EE,0,,Wilayat,State,1976,Present,,5,Amatonge,,,,0,,District,District,Unknown,Present,,5,Akotous,,,,0,,Unknown,Unknown,Unknown,Unknown,,0,,,0,,,,,,,0,,0,,,,Equatoria,Al Istiwā'ī|Al Istiwā'īyah|Equatória,3.01505484776,0.360654652125
210004,210004.0,214,SSD,South Sudan,3,Jungoli,Jonglei| Jonglie| Jonqley| Junglei| Junqalī| Jongley,,SD.JG,0,,Wilayat,State,1976,Present,,9,Akobo,,,,0,,District,District,Unknown,Present,,10,Kongur,,,,0,,Unknown,Unknown,Unknown,Unknown,,0,,,0,,,,,,,0,,0,,,,Upper Nile,,6.11859535246,1.55496618373
210012,210012.0,214,SSD,South Sudan,4,Lakes,,,SD.EB,0,,Wilayat,State,Unknown,Present,,16,Aliab,,,,0,,District,District,Unknown,Present,,18,Oeiryal,,,,0,,Unknown,Unknown,Unknown,Unknown,,0,,,0,,,,,,,0,,0,,,,Bahr el Ghazal,Bahr-al-Ghazal,2.55496436711,0.348953118171
210016,210016.0,214,SSD,South Sudan,5,North Bahr-al-Ghazal,North Bahr-al-Gazal| North Bahr el Ghazal| Shamal Bahr al Ghazal,,SD.NB,0,,Wilayat,State,Unknown,Present,,20,Aryat,,,,0,,District,District,Unknown,Present,,22,Odeth,,,,0,,Unknown,Unknown,Unknown,Unknown,,0,,,0,,,,,,,0,,0,,,,Bahr el Ghazal,Bahr-al-Ghazal,2.13208629287,0.18103131439
