Chechnya,21347,Chechnya,Russia
Mordovia,20948,Mordovia,Russia
Tatarstan,20971,Tatarstan,Russia
Tuva,21346,Tuva,Russia
Eastern Cape,21214,Eastern Cape,South Africa
Free State,21215,Free State,South Africa
Gauteng,21216,Gauteng,South Africa
KwaZulu-Natal,21219,KwaZulu-Natal,South Africa
Limpopo,21220,Limpopo,South Africa
Mpumalanga,21217,Mpumalanga,South Africa
North West,21221,North West,South Africa
Northern Cape,21218,Northern Cape,South Africa
Western Cape,21222,Western Cape,South Africa
Anhui,20174,Anhui,China
Beijing,20163,Beijing,China
Chongqing,20184,Chongqing,China
Fujian,20175,Fujian,China
Gansu,20190,Gansu,China
Guangdong,20181,Guangdong,China
Guangxi,20182,Guangxi,China
Guizhou,20186,Guizhou,China
Hainan,20183,Hainan,China
Hebei,20165,Hebei,China
Heilongjiang,20170,Heilongjiang,China
Henan,20178,Henan,China
Hubei,20179,Hubei,China
Hunan,20180,Hunan,China
Jiangsu,20172,Jiangsu,China
Jiangxi,20176,Jiangxi,China
Jilin,20169,Jilin,China
Liaoning,20168,Liaoning,China
Qinghai,20191,Qinghai,China
Shaanxi,20189,Shaanxi,China
Shandong,20177,Shandong,China
Shanghai,20171,Shanghai,China
Shanxi,20166,Shanxi,China
Sichuan,20185,Sichuan,China
Tianjin,20164,Tianjin,China
Yunnan,20187,Yunnan,China
Zhejiang,20173,Zhejiang,China
Australian Capital Territory,20034,Australian Capital Territory,Australia
Jervis Bay Territory,9069528,Jervis Bay Territory,Australia
New South Wales,20035,New South Wales,Australia
Northern Territory,20036,Northern Territory,Australia
Queensland,20037,Queensland,Australia
South Australia,20038,South Australia,Australia
Tasmania,20039,Tasmania,Australia
Victoria,20040,Victoria,Australia
Western Australia,20041,Western Australia,Australia
