event,time,tweet id,user id,screen name
js-activity-retweet,1509278470000,921593051067363328,878491949434454017,🇮🇳manish🇮🇳
js-activity-retweeted_media_tag,1509209297851,924176279984750592,47896903,prashanth v'ramana
js-activity-follow,1509213290710,0,28522271,faiaz ahmed
js-activity-retweeted_media_tag,1509434073010,925247250598473729,2708554866,m.arulanandham
js-activity-favorite,1509385993610,924893098282328065,728686302,kosal ram
js-activity-retweeted_mention,1509356681659,924899749693501440,3309532194,ashish trivedi
js-activity-favorite,1509385993610,924893098282328065,132150692,ashok kumar
js-activity-favorite,1509385993610,924893098282328065,778781602084229122,gyanendra k jha ⏩
js-activity-favorite,1509328201670,924581939666755584,537421374,ramar
js-activity-favorited_mention,1509385237666,924899749693501440,1381712874,kaiser
js-activity-favorited_media_tag,1509606917005,925982144102416384,1509831067,faizel hashim
js-activity-retweeted_media_tag,1509209297851,924176279984750592,2909584105,vijay anand
js-activity-favorite,1509328201670,924581939666755584,923366759456837632,a sudhagar
js-activity-favorite,1509328201670,924581939666755584,2415692726,d.benin jackson
js-activity-retweeted_mention,1509356681659,924899749693501440,804416365,sachin agrawal inc
js-activity-favorited_media_tag,1509434033840,925244781160054784,2708554866,m.arulanandham
js-activity-retweeted_media_tag,1509450828447,925248012602941440,878200940636983298,mangai dhileep
js-activity-favorite,1509350283029,924581939666755584,132150692,ashok kumar
js-activity-favorited_mention,1509385237666,924899749693501440,117966977,vishal dubey
js-activity-retweet,1509286885000,924581939666755584,900282704113016832,v.gopal
js-activity-follow,1509445662038,0,1077461300,arockia pushparaj
js-activity-retweeted_media_tag,1509604677008,925785258095624192,816537363723776000,pandiyarajan
js-activity-favorite,1509385993610,924893098282328065,878491949434454017,🇮🇳manish🇮🇳
js-activity-mention,1509182063000,0,0,
js-activity-follow,1509213290710,0,51221737,thangadurai
js-activity-retweet,1509286885000,924581939666755584,163076848,sanjai
js-activity-favorited_media_tag,1509467841950,925390032310976512,2960972918,thiruchitrambalam
js-activity-favorite,1509385993610,924893098282328065,899514713695895553,elamvazhuthi
js-activity-retweeted_media_tag,1509209297851,924176279984750592,132150692,ashok kumar
js-activity-retweeted_media_tag,1509604677008,925785258095624192,1312956978,sathish attur
js-activity-retweeted_media_tag,1509604677008,925785258095624192,919471576310980608,suresh babu d @ inc
js-activity-favorite,1509445666252,924893098282328065,1077461300,arockia pushparaj
js-activity-favorited_mention,1509385237666,924899749693501440,63430419,mathivarmanpuduchery
js-activity-favorite,1509385993610,924893098282328065,2909584105,vijay anand
js-activity-retweet,1509385994000,924893098282328065,900282704113016832,v.gopal
js-activity-favorite,1509386011592,924825890114146309,537421374,ramar
js-activity-favorited_mention,1509437656719,924899749693501440,924600173082198017,aipc uttarakhand
js-activity-retweeted_mention,1509356681659,924899749693501440,258409783,mohit sharma
js-activity-favorite,1509385993610,924893098282328065,171866803,rana dev rajbanshi
js-activity-retweet,1509385994000,924893098282328065,65851051,sengottai s kannan
js-activity-favorite,1509328201670,924581939666755584,821917097122877440,suresh kumar
js-activity-favorited_media_tag,1509213686696,924176279984750592,895982958007296000,murali dharan
js-activity-favorited_mention,1509385237666,924899749693501440,3309532194,ashish trivedi
js-activity-favorite,1509385993610,924893098282328065,537421374,ramar
js-activity-favorited_mention,1509385237666,924899749693501440,779648428070543364,nsui darbhanga
js-activity-favorite,1509350283029,924581939666755584,703621315106725888,venkateswaran
js-activity-retweeted_mention,1509356681659,924899749693501440,840814245440712706,adheesh t
js-activity-favorited_mention,1509385237666,924899749693501440,88341381,ayoob
js-activity-follow,1509513209288,0,898045877054558208,navaneperumal
js-activity-favorited_media_tag,1509213686696,924176279984750592,849944575309258754,aldrin joe mathew
js-activity-favorite,1509445668152,924825890114146309,1077461300,arockia pushparaj
js-activity-retweeted_media_tag,1509606915501,925982144102416384,1509831067,faizel hashim
