Master Key,Dataset Key,Segment Type,Association Type,Channel,Hashtag,Handle,Post Content,Post Theme Type,Post Themes,Retweets,Replies,Likes,Post Time,Post Url,Handle Image Url,sentiment,polarity score
1,,Consumer,Brand,weibo,[],Mangogo代购店,倩碧bug已经下了快30套了，加单的速度啦，送的正装已经开始断货了，现在还有all about眼霜，发光面霜和眼部精华素可以选，国内都是三四百的价格！全部都是美国官网下单！不要怀疑！怀疑你就错过bug了[捂脸]听说已经有人发邮件给官网举报bug了，希望不砍单！ ​,,"['Freedom', 'Hope']",1,0,0,2018-05-26 20:59,https://weibo.com/5314299694/GittxjalL?refer_flag=1001030103_,https://tvax1.sinaimg.cn/crop.0.0.664.664.50/005NEg7cly8frkf504qsoj30ig0ig74v.jpg,Neutral,0.05982142857142859
1,,Consumer,Brand,weibo,[],哼哈团,ahc jm 倩碧等,,[],0,0,1,2018-05-26 20:50,https://weibo.com/5812705084/GitpIDBCr?refer_flag=1001030103_,https://tva4.sinaimg.cn/crop.0.0.750.750.50/006lnw7Ojw8f1ugdp7j0qj30ku0ku0u1.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,[],万象糖糖,@莫默燃 88倩碧小菊花,,[],0,0,1,2018-05-26 20:49,https://weibo.com/3563515083/GitpAm5Y4?refer_flag=1001030103_,https://tvax4.sinaimg.cn/crop.0.0.996.996.50/d466eccbly8flmg1zirppj20ro0rogok.jpg,Neutral,-0.25
1,,Consumer,Brand,weibo,[],-荔枝红茶,最近想入手腮红倩碧/07cola pop/17black honey pop Nars/deep throat ​,,[],1,0,0,2018-05-26 20:39,https://weibo.com/2478735514/Gitls8goV?refer_flag=1001030103_,https://tvax1.sinaimg.cn/crop.0.0.750.750.50/93be809aly8fgs8bf0ifkj20ku0ku3z7.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,['#2018年空瓶记#'],麦尤尤决定少刷wb多刷题,#2018年空瓶记# 倩碧的防晒棒～～棒状的真的很方便，但是量太少了，而且跟资生堂那个比，有点油倩碧小黄油无油版，对我来说不够润 ​,,['Freedom'],0,0,1,2018-05-26 20:35,https://weibo.com/5997346698/GitjH7pQK?refer_flag=1001030103_,https://tvax3.sinaimg.cn/crop.0.0.736.736.50/006xSfQmly8fgtir4ty3yj30kg0kgdgk.jpg,Neutral,-0.05902777777777777
1,,Consumer,Brand,weibo,['#Q＋UFINE创始人 V：pwsh350428#'],UFINE创始人-33,"● 湿敷小tip必须说我知道很多人一冒痘毛孔粗大就喜欢用各种产品湿敷 毕竟我以前也这样🙂但不是什么爽肤水 精华水都能拿来湿敷的搞不好会烂脸 特别大分子 含酒精成分的 二次清洁功能的 #Q＋UFINE创始人 V：pwsh350428# 比如倩碧全系列/黛珂紫苏水/科颜氏黄瓜水/cpb水磨精华/雪肌精精华水 做理智 ​
			...展开全文c",,['Freedom'],0,0,1,2018-05-26 19:54,https://weibo.com/3362235512/Git303PVq?refer_flag=1001030103_,https://tvax1.sinaimg.cn/crop.0.0.750.750.50/c867a478ly8fh3b1gblqhj20ku0kujsq.jpg,Neutral,0.025714285714285717
1,,Consumer,Brand,weibo,[],Helloei酱酱酱酱-,"孕妇敏感肌可用❤黄油作为倩碧的开山之作，全球每2秒卖出一瓶，绝对是混合肌肤的最爱之一，用过的小伙伴爱不释手，性价比极高，属于明星产品。有油黄油""升级之后，被称作""天才黄油""，大干皮的救星，超级滋润 保湿补水效果极佳  无油黄油""适用于混合肌肤以及油性肌肤，保湿清爽不油腻。 ​",,['Freedom'],1,0,0,2018-05-26 19:42,https://weibo.com/1957456197/GisYp9LGF?refer_flag=1001030103_,https://tvax1.sinaimg.cn/crop.0.0.1125.1125.50/74ac6945ly8fqd3rzhahtj20v90v976k.jpg,Neutral,0.23571851851851852
1,,Consumer,Brand,weibo,"['#pony#', '#pony新妆#', '#秒拍#']",舞动人生lets,pony和倩碧合作的新教程。#pony##pony新妆#pony朴惠敏...（使用#秒拍#录制，免流量看热门短视频！） ​,,['Freedom'],1,0,0,2018-05-26 19:22,https://weibo.com/5188371332/GisQ1ET9y?refer_flag=1001030103_,https://tvax1.sinaimg.cn/crop.0.0.179.179.50/005F7SoAgy1fq4mkjhrhaj3050050t8j.jpg,Neutral,0.2545454545454545
1,,Consumer,Brand,weibo,[],小航哥英国代购,倩碧滚珠眼霜 清爽方便按摩 198元包邮/只 WX：yingdai201510 ​,,[],0,0,1,2018-05-26 19:08,https://weibo.com/5747122168/GisKuCquy?refer_flag=1001030103_,https://tvax4.sinaimg.cn/crop.0.0.1125.1125.50/006gWl0Qly8fpahrukeigj30v90v9dj6.jpg,Neutral,0.25
1,,Consumer,Brand,weibo,[],酱酱团一等护卫,倩碧宛若新生水，保·湿抗氧化，在団，连接网页链接,,[],0,0,1,2018-05-26 17:45,https://weibo.com/5593775003/GiscDriPH?refer_flag=1001030103_,https://tva2.sinaimg.cn/crop.0.0.1242.1242.50/0066yUptjw8eya5ya9ieoj30yi0yiwh1.jpg,Neutral,0.0
