politician,label
http://dbpedia.org/resource/Punnulal_Mohle,Punnulal Mohle
http://dbpedia.org/resource/Pusp_Jain,Pusp Jain
http://dbpedia.org/resource/Rajen_Gohain,Rajen Gohain
http://dbpedia.org/resource/Ram_Prakash_Gupta,Ram Prakash Gupta
http://dbpedia.org/resource/Ramchandra_Veerappa,Ramchandra Veerappa
http://dbpedia.org/resource/Ramkrishna_Kusmaria,Ramkrishna Kusmaria
http://dbpedia.org/resource/Ramlakhan_Singh,Ramlakhan Singh
http://dbpedia.org/resource/Ramswaroop_Koli,Ramswaroop Koli
http://dbpedia.org/resource/S._Mallikarjunaiah,S. Mallikarjunaiah
http://dbpedia.org/resource/Sarbananda_Sonowal,Sarbananda Sonowal
http://dbpedia.org/resource/Sohan_Potai,Sohan Potai
http://dbpedia.org/resource/Thupstan_Chhewang,Thupstan Chhewang
http://dbpedia.org/resource/Vijay_Kumar_Khandelwal,Vijay Kumar Khandelwal
http://dbpedia.org/resource/Vijayendrapal_Singh,Vijayendrapal Singh
http://dbpedia.org/resource/Y._G._Mahajan,Y. G. Mahajan
http://dbpedia.org/resource/Bhagat_Singh_Koshyari,Bhagat Singh Koshyari
http://dbpedia.org/resource/Nityanand_Swami_(politician),Nityanand Swami
http://dbpedia.org/resource/Prem_Kumar_Dhumal,Prem Kumar Dhumal
http://dbpedia.org/resource/Balavant_Apte,Balavant Apte
http://dbpedia.org/resource/Jual_Oram,Jual Oram
http://dbpedia.org/resource/Krishna_Murari_Moghe,Krishna Murari Moghe
http://dbpedia.org/resource/Vinod_Kumar_Binny,Vinod Kumar Binny
http://dbpedia.org/resource/Virendra_Kumar,Virendra Kumar
http://dbpedia.org/resource/Virendra_Kumar_Sakhlecha,Virendra Kumar Sakhlecha
http://dbpedia.org/resource/Najma_Heptulla,Najma Heptulla
http://dbpedia.org/resource/Rama_Devi_(Bihar_politician),Rama Devi
http://dbpedia.org/resource/Gegong_Apang,Gegong Apang
http://dbpedia.org/resource/Manohar_Parrikar,Manohar Parrikar
http://dbpedia.org/resource/V._Rama_Rao,V. Rama Rao
http://dbpedia.org/resource/B._Y._Raghavendra,B. Y. Raghavendra
http://dbpedia.org/resource/Govind_Prasad_Mishra,Govind Prasad Mishra
http://dbpedia.org/resource/Hemant_Khandelwal,Hemant Khandelwal
http://dbpedia.org/resource/Hukmdev_Narayan_Yadav,Hukmdev Narayan Yadav
http://dbpedia.org/resource/Madhusudan_Yadav,Madhusudan Yadav
http://dbpedia.org/resource/Natubhai_Gomanbhai_Patel,Natubhai Gomanbhai Patel
http://dbpedia.org/resource/Sambit_Patra,Sambit Patra
http://dbpedia.org/resource/Shivkumar_Chanabasappa_Udasi,Shivkumar Chanabasappa Udasi
http://dbpedia.org/resource/Kamakhya_Prasad_Singh_Deo,Kamakhya Prasad Singh Deo
http://dbpedia.org/resource/Maya_Kodnani,Maya Kodnani
http://dbpedia.org/resource/Shankar_Chaudhary,Shankar Chaudhary
http://dbpedia.org/resource/Abha_Mahato,Abha Mahato
http://dbpedia.org/resource/C._T._Ravi,C. T. Ravi
http://dbpedia.org/resource/Kamal_Rani,Kamal Rani
http://dbpedia.org/resource/Shobha_Surendran,Shobha Surendran
http://dbpedia.org/resource/Ashish_Shelar,Ashish Shelar
http://dbpedia.org/resource/Ashok_Kumar_Chauhan,Ashok Kumar Chauhan
http://dbpedia.org/resource/Balkrishna_Khanderao_Shukla,Balkrishna Khanderao Shukla
http://dbpedia.org/resource/Bhavna_Kardam_Dave,Bhavna Kardam Dave
http://dbpedia.org/resource/Haribhai_Parthibhai_Chaudhary,Haribhai Parthibhai Chaudhary
http://dbpedia.org/resource/Hitendra_Nath_Goswami,Hitendra Nath Goswami
http://dbpedia.org/resource/Jagat_Prakash_Nadda,Jagat Prakash Nadda
http://dbpedia.org/resource/Kamlesh_Paswan,Kamlesh Paswan
http://dbpedia.org/resource/Kirit_Premjibhai_Solanki,Kirit Premjibhai Solanki
http://dbpedia.org/resource/Madhavrao_Bhujangrao_Kinhalkar,Madhavrao Bhujangrao Kinhalkar
http://dbpedia.org/resource/Maninder_Singh_Dhir,Maninder Singh Dhir
http://dbpedia.org/resource/Nakli_Singh,Nakli Singh
