name,label
http://dbpedia.org/resource/Viduthalai_Chiruthaigal_Katchi,Viduthalai Chiruthaigal Katchi
http://dbpedia.org/resource/Indian_National_Congress,Indian National Congress
http://dbpedia.org/resource/Peace_Party_of_India,Peace Party of India
http://dbpedia.org/resource/Kerala_Congress_(M),Kerala Congress (M)
http://dbpedia.org/resource/Rashtriya_Janata_Dal,Rashtriya Janata Dal
http://dbpedia.org/resource/Mahan_Dal,Mahan Dal
http://dbpedia.org/resource/Pragatisheel_Indira_Congress,Pragatisheel Indira Congress
