politician,label
http://dbpedia.org/resource/Y._Radhakrishnamurthy,Y. Radhakrishnamurthy
http://dbpedia.org/resource/E._M._S._Namboodiripad,E. M. S. Namboodiripad
http://dbpedia.org/resource/G._Sudhakaran,G. Sudhakaran
http://dbpedia.org/resource/Sitaram_Yechury,Sitaram Yechury
http://dbpedia.org/resource/Abul_Hasnat_Khan,Abul Hasnat Khan
http://dbpedia.org/resource/K._Kunhali,K. Kunhali
http://dbpedia.org/resource/Vaikom_Viswan,Vaikom Viswan
http://dbpedia.org/resource/A._Soundararajan,A. Soundararajan
http://dbpedia.org/resource/Ajit_Sarkar,Ajit Sarkar
http://dbpedia.org/resource/Hashim_Abdul_Halim,Hashim Abdul Halim
http://dbpedia.org/resource/A._M._Ariff,A. M. Ariff
http://dbpedia.org/resource/C._B._C._Warrier,C. B. C. Warrier
http://dbpedia.org/resource/Saju_Paul,Saju Paul
http://dbpedia.org/resource/Sudhangshu_Seal,Sudhangshu Seal
http://dbpedia.org/resource/R._Bindu,R. Bindu
http://dbpedia.org/resource/P._K._Sreemathy,P. K. Sreemathy
http://dbpedia.org/resource/E._K._Imbichi_Bava,E. K. Imbichi Bava
http://dbpedia.org/resource/Saifuddin_Choudhury,Saifuddin Choudhury
http://dbpedia.org/resource/Samir_Putatundu,Samir Putatundu
http://dbpedia.org/resource/Somnath_Chatterjee,Somnath Chatterjee
http://dbpedia.org/resource/Jyoti_Basu,Jyoti Basu
http://dbpedia.org/resource/Balai_Ray,Balai Ray
http://dbpedia.org/resource/Dinendra_Nath_Bhattacharya,Dinendra Nath Bhattacharya
http://dbpedia.org/resource/Jyotirmoy_Basu,Jyotirmoy Basu
http://dbpedia.org/resource/M._Hamsa,M. Hamsa
http://dbpedia.org/resource/Sudhir_Ray,Sudhir Ray
http://dbpedia.org/resource/Sushil_Kumar_Bhattacharya,Sushil Kumar Bhattacharya
http://dbpedia.org/resource/C._Krishnan_(CPI-M),C. Krishnan
http://dbpedia.org/resource/Anisur_Rahman_(politician),Anisur Rahman
http://dbpedia.org/resource/K._Radhakrishnan_(politician),K. Radhakrishnan
http://dbpedia.org/resource/K._S._Manoj,K. S. Manoj
http://dbpedia.org/resource/Subhashini_Ali,Subhashini Ali
http://dbpedia.org/resource/Moinul_Hassan,Moinul Hassan
http://dbpedia.org/resource/Tapan_Kumar_Sen,Tapan Kumar Sen
http://dbpedia.org/resource/Makineni_Basavapunnaiah,Makineni Basavapunnaiah
http://dbpedia.org/resource/Babu_M._Palissery,Babu M. Palissery
http://dbpedia.org/resource/Sukumar_Barman,Sukumar Barman
http://dbpedia.org/resource/Kanti_Ganguly,Kanti Ganguly
http://dbpedia.org/resource/C.P._Narayanan,C.P. Narayanan
http://dbpedia.org/resource/Gadadhar_Saha,Gadadhar Saha
http://dbpedia.org/resource/Haradhan_Roy,Haradhan Roy
http://dbpedia.org/resource/K.K._Ragesh,K.K. Ragesh
http://dbpedia.org/resource/Kadakampally_Surendran,Kadakampally Surendran
http://dbpedia.org/resource/E._K._Nayanar,E. K. Nayanar
