"name","label"
"http://dbpedia.org/resource/Chander_Kumar","Chander Kumar"
"http://dbpedia.org/resource/Chegondi_Venkata_Harirama_Jogaiah","Chegondi Venkata Harirama Jogaiah"
"http://dbpedia.org/resource/Dhani_Ram_Shandil","Dhani Ram Shandil"
"http://dbpedia.org/resource/G._V._Harsha_Kumar","G. V. Harsha Kumar"
"http://dbpedia.org/resource/Mohsina_Kidwai","Mohsina Kidwai"
"http://dbpedia.org/resource/Ramakrishna_Badiga","Ramakrishna Badiga"
"http://dbpedia.org/resource/Digvijaya_Singh","Digvijaya Singh"
"http://dbpedia.org/resource/Ramya","Ramya"
"http://dbpedia.org/resource/Sajjan_Kumar","Sajjan Kumar"
"http://dbpedia.org/resource/Sriprakash_Jaiswal","Sriprakash Jaiswal"
"http://dbpedia.org/resource/Natwar_Singh","Natwar Singh"
"http://dbpedia.org/resource/Roohi_Zuberi","Roohi Zuberi"
"http://dbpedia.org/resource/Badruddin_Tyabji","Badruddin Tyabji"
"http://dbpedia.org/resource/Bijoy_Koijam","Bijoy Koijam"
"http://dbpedia.org/resource/Khwairakpam_Loken_Singh","Khwairakpam Loken Singh"
"http://dbpedia.org/resource/Muhammed_Alauddin_Khan","Muhammed Alauddin Khan"
"http://dbpedia.org/resource/Radhabinod_Koijam","Radhabinod Koijam"
"http://dbpedia.org/resource/Rokonicha","Rokonicha"
"http://dbpedia.org/resource/Swami_Ramanand_Tirtha","Swami Ramanand Tirtha"
"http://dbpedia.org/resource/Thokchom_Navakumar_Singh","Thokchom Navakumar Singh"
"http://dbpedia.org/resource/Thounaojam_Shyamkumar_Singh","Thounaojam Shyamkumar Singh"
"http://dbpedia.org/resource/Z._Obed","Z. Obed"
"http://dbpedia.org/resource/A._Nesamony","A. Nesamony"
"http://dbpedia.org/resource/Badri_Ram_Jakhar","Badri Ram Jakhar"
"http://dbpedia.org/resource/Bangaru_Usha_Rani","Bangaru Usha Rani"
"http://dbpedia.org/resource/Bhanu_Pratap_Singh","Bhanu Pratap Singh"
"http://dbpedia.org/resource/C._P._Joshi","C. P. Joshi"
"http://dbpedia.org/resource/Chaudhary_Brahm_Prakash","Chaudhary Brahm Prakash"
"http://dbpedia.org/resource/Harish_Kumar_Gangawar","Harish Kumar Gangawar"
"http://dbpedia.org/resource/Jaywantrao_Awale","Jaywantrao Awale"
"http://dbpedia.org/resource/K._Parthasarathi","K. Parthasarathi"
"http://dbpedia.org/resource/Marotrao_Kowase","Marotrao Kowase"
"http://dbpedia.org/resource/Mukund_Lal_Agrawal","Mukund Lal Agrawal"
"http://dbpedia.org/resource/N._Gopala_Menon","N. Gopala Menon"
"http://dbpedia.org/resource/N._Peethambara_Kurup","N. Peethambara Kurup"
"http://dbpedia.org/resource/Ninong_Ering","Ninong Ering"
"http://dbpedia.org/resource/Pratap_Singh_Bajwa","Pratap Singh Bajwa"
"http://dbpedia.org/resource/S._Chellapandian","S. Chellapandian"
"http://dbpedia.org/resource/Sabitha_Indra_Reddy","Sabitha Indra Reddy"
"http://dbpedia.org/resource/Shruti_Choudhry","Shruti Choudhry"
"http://dbpedia.org/resource/Suresh_Kashinath_Taware","Suresh Kashinath Taware"
"http://dbpedia.org/resource/Takam_Sanjoy","Takam Sanjoy"
"http://dbpedia.org/resource/Thangso_Baite","Thangso Baite"
"http://dbpedia.org/resource/V._T._Patil","V. T. Patil"
"http://dbpedia.org/resource/Anantrao_Patil","Anantrao Patil"
"http://dbpedia.org/resource/Balram_Naik","Balram Naik"
"http://dbpedia.org/resource/Harikesh_Bahadur","Harikesh Bahadur"
"http://dbpedia.org/resource/Jagdish_Jandu","Jagdish Jandu"
"http://dbpedia.org/resource/K._Pushpaleela","K. Pushpaleela"
"http://dbpedia.org/resource/Mallu_Ravi","Mallu Ravi"
"http://dbpedia.org/resource/Nabin_Chandra_Bardoloi","Nabin Chandra Bardoloi"
"http://dbpedia.org/resource/P._T._Chacko","P. T. Chacko"
"http://dbpedia.org/resource/Pradeep_Jain_Aditya","Pradeep Jain Aditya"
"http://dbpedia.org/resource/Raninder_Singh","Raninder Singh"
"http://dbpedia.org/resource/Ratan_Singh","Ratan Singh"
"http://dbpedia.org/resource/Sarve_Satyanarayana","Sarve Satyanarayana"
"http://dbpedia.org/resource/Sharwan_Kumar","Sharwan Kumar"
"http://dbpedia.org/resource/Urmila_Singh","Urmila Singh"
"http://dbpedia.org/resource/Aryadan_Muhammed","Aryadan Muhammed"
"http://dbpedia.org/resource/Atish_Chandra_Sinha","Atish Chandra Sinha"
"http://dbpedia.org/resource/B._V._Subba_Reddy","B. V. Subba Reddy"
"http://dbpedia.org/resource/Damodar_Raja_Narasimha","Damodar Raja Narasimha"
"http://dbpedia.org/resource/G._Karthikeyan","G. Karthikeyan"
"http://dbpedia.org/resource/I.P._Paul","I.P. Paul"
"http://dbpedia.org/resource/Jose_Kattukkaran","Jose Kattukkaran"
"http://dbpedia.org/resource/Lakshmi_Kantamma","Lakshmi Kantamma"
"http://dbpedia.org/resource/Lokenath_Bal","Lokenath Bal"
"http://dbpedia.org/resource/Mausam_Noor","Mausam Noor"
"http://dbpedia.org/resource/Meka_Rangaiah_Appa_Rao","Meka Rangaiah Appa Rao"
"http://dbpedia.org/resource/N._Subramanian_Chettiar","N. Subramanian Chettiar"
"http://dbpedia.org/resource/Ram_Subhag_Singh","Ram Subhag Singh"
"http://dbpedia.org/resource/Ramanath_Rai","Ramanath Rai"
"http://dbpedia.org/resource/Randhir_Prasad","Randhir Prasad"
"http://dbpedia.org/resource/Saif_Ali_Naqvi","Saif Ali Naqvi"
"http://dbpedia.org/resource/Shankarrao_Bajirao_Patil","Shankarrao Bajirao Patil"
"http://dbpedia.org/resource/Aladi_Sankaraiya","Aladi Sankaraiya"
"http://dbpedia.org/resource/Begum_Abida_Ahmed","Begum Abida Ahmed"
"http://dbpedia.org/resource/G._Prasad_Rao","G. Prasad Rao"
"http://dbpedia.org/resource/J._G._Prince","J. G. Prince"
"http://dbpedia.org/resource/K._S._R._Murthy","K. S. R. Murthy"
"http://dbpedia.org/resource/M._Krishnasamy","M. Krishnasamy"
"http://dbpedia.org/resource/Manicka_Tagore","Manicka Tagore"
"http://dbpedia.org/resource/Moinul_Hoque_Choudhury","Moinul Hoque Choudhury"
"http://dbpedia.org/resource/P._R._Francis","P. R. Francis"
"http://dbpedia.org/resource/P._Viswanathan","P. Viswanathan"
"http://dbpedia.org/resource/Raghavan_Pozhakadavil","Raghavan Pozhakadavil"
"http://dbpedia.org/resource/S._Vijayadharani","S. Vijayadharani"
"http://dbpedia.org/resource/Syed_Yasin","Syed Yasin"
"http://dbpedia.org/resource/T_V_Maruthi","T V Maruthi"
"http://dbpedia.org/resource/Vakkom_Purushothaman","Vakkom Purushothaman"
"http://dbpedia.org/resource/K._V._P._Ramachandra_Rao","K. V. P. Ramachandra Rao"
"http://dbpedia.org/resource/Manmohan_Singh","Manmohan Singh"
"http://dbpedia.org/resource/Mohan_Kumaramangalam","Mohan Kumaramangalam"
"http://dbpedia.org/resource/Mohan_Lal_Sukhadia","Mohan Lal Sukhadia"
"http://dbpedia.org/resource/Mukul_Sangma","Mukul Sangma"
"http://dbpedia.org/resource/S._M._Abdul_Majid","S. M. Abdul Majid"
"http://dbpedia.org/resource/Shankar_Dayal_Sharma","Shankar Dayal Sharma"
"http://dbpedia.org/resource/Subhas_Chandra_Bose","Subhas Chandra Bose"
"http://dbpedia.org/resource/K._R._Narayanan","K. R. Narayanan"
"http://dbpedia.org/resource/Khan_Abdul_Wali_Khan","Khan Abdul Wali Khan"
"http://dbpedia.org/resource/A._K._Fazlul_Huq","A. K. Fazlul Huq"
"http://dbpedia.org/resource/A._L._Ramakrishna_Naicker","A. L. Ramakrishna Naicker"
"http://dbpedia.org/resource/Ambica_Banerjee","Ambica Banerjee"
"http://dbpedia.org/resource/Jairam_Ramesh","Jairam Ramesh"
"http://dbpedia.org/resource/Jivraj_Narayan_Mehta","Jivraj Narayan Mehta"
"http://dbpedia.org/resource/Kalyan_Banerjee_(politician)","Kalyan Banerjee (politician)"
"http://dbpedia.org/resource/Madhu_Koda","Madhu Koda"
"http://dbpedia.org/resource/Mohammad_Yunus_Saleem","Mohammad Yunus Saleem"
"http://dbpedia.org/resource/Moni_Kumar_Subba","Moni Kumar Subba"
"http://dbpedia.org/resource/N._Dennis","N. Dennis"
"http://dbpedia.org/resource/Prakash_Dahake","Prakash Dahake"
"http://dbpedia.org/resource/Priyanka_Gandhi","Priyanka Gandhi"
"http://dbpedia.org/resource/Purnima_Banerjee","Purnima Banerjee"
"http://dbpedia.org/resource/R._K._Dhawan","R. K. Dhawan"
"http://dbpedia.org/resource/Shyam_Sundar_Chakravarthy","Shyam Sundar Chakravarthy"
"http://dbpedia.org/resource/Subramaniam_Pillai","Subramaniam Pillai"
"http://dbpedia.org/resource/Sudhir_Ranjan_Majumdar","Sudhir Ranjan Majumdar"
"http://dbpedia.org/resource/Vinay_Kumar_Pandey","Vinay Kumar Pandey"
"http://dbpedia.org/resource/Vinay_Kumar_Sorake","Vinay Kumar Sorake"
"http://dbpedia.org/resource/Mani_Shankar_Aiyar","Mani Shankar Aiyar"
"http://dbpedia.org/resource/Nagma","Nagma"
